#Fusion Events Log:
#evnt, fam1, fam2, gen, spliceLoc
0	9	14	2	159
1	10	13	2	190
2	13	5	2	244
3	0	3	1	127
4	0	5	1	209
5	4	6	3	74
6	18	9	3	78
7	2	11	4	168
8	5	17	2	70
9	3	4	1	133
10	2	10	0	215
11	0	6	4	235
12	1	0	4	177
13	19	8	2	242
14	13	2	0	216
15	2	4	2	152
16	13	6	1	69
17	16	15	3	82
18	5	5	0	65
19	16	3	0	99
20	2	18	3	58
21	4	14	4	124
22	5	18	1	194
23	3	15	3	119
24	3	4	3	166
25	15	17	2	59
26	15	17	3	52
27	10	7	0	79
28	4	2	2	203
29	9	4	2	128
30	14	1	2	170
31	0	10	3	93
32	17	4	4	222
33	15	13	2	106
34	9	14	3	56
35	10	8	0	176
36	18	19	1	136
37	7	9	1	189
38	1	17	0	160
39	11	0	3	101
40	14	1	1	140
41	7	2	3	123
42	5	15	0	164
43	0	19	4	191
44	0	0	4	89
45	3	9	0	247
46	6	18	2	176
47	6	17	4	206
48	13	0	4	250
49	16	5	4	107
50	9	11	1	88
51	18	5	4	125
52	2	13	4	103
53	16	12	4	59
54	18	15	1	207
55	19	6	3	57
56	6	4	1	81
57	4	10	3	207
58	7	11	3	247
59	0	2	3	77
60	7	7	2	149
61	8	15	4	237
62	12	3	3	83
63	14	17	0	119
64	6	14	4	74
65	12	9	0	248
66	17	8	3	249
67	1	19	4	96
68	11	9	0	103
69	11	16	3	130
70	9	5	1	232
71	4	7	4	217
72	18	16	3	51
73	19	5	3	70
74	3	1	4	205
75	13	18	4	212
76	16	5	1	70
77	19	18	1	162
78	15	13	4	248
79	12	5	4	248
80	12	17	0	121
81	3	11	1	60
82	7	19	3	162
83	9	16	1	77
84	18	7	2	53
85	18	18	4	103
86	17	17	0	194
87	2	19	2	106
88	4	14	3	218
89	8	17	3	161
90	2	11	0	67
91	14	0	4	84
92	11	5	3	58
93	7	9	4	146
94	9	12	4	159
95	2	9	1	211
96	0	19	2	175
97	2	9	2	92
98	9	15	2	65
99	16	0	3	128
100	4	11	1	230
101	0	18	2	224
102	9	3	0	142
103	13	10	1	217
104	3	1	2	82
105	4	12	0	175
106	0	13	3	64
107	3	7	4	145
108	5	5	0	117
109	16	6	2	158
110	4	9	3	103
111	12	16	3	159
112	16	6	4	65
113	2	9	2	178
114	15	7	2	63
115	2	13	0	69
116	12	2	3	128
117	9	19	3	206
118	13	17	3	60
119	10	10	3	195
120	16	0	3	72
121	16	1	1	176
122	16	9	1	70
123	19	12	1	163
124	9	17	2	218
125	2	19	2	54
126	15	5	3	173
127	3	9	1	233
