#Fusion Events Log:
#evnt, fam1, fam2, gen, spliceLoc
0	3	2	4	233
1	13	7	0	112
2	2	15	1	246
3	9	16	2	76
4	0	18	1	116
5	4	2	4	179
6	0	12	1	229
7	6	12	0	57
8	10	18	4	221
9	4	2	0	161
10	16	4	3	118
11	16	2	2	91
12	1	18	4	197
13	9	10	1	109
14	3	0	1	159
15	8	1	2	94
16	10	10	0	208
17	2	1	0	240
18	1	0	1	95
19	18	11	1	215
20	2	3	3	203
21	4	10	0	191
22	12	4	1	82
23	11	8	3	185
24	3	1	1	135
25	13	0	4	166
26	16	13	4	180
27	2	19	3	178
28	0	5	0	239
29	2	5	3	198
30	9	9	1	249
31	9	8	1	119
32	9	13	2	164
33	17	2	4	200
34	15	14	0	163
35	16	15	3	229
36	12	1	3	212
37	17	6	2	156
38	9	3	1	93
39	7	0	3	193
40	4	11	1	61
41	18	9	0	240
42	5	16	1	139
43	16	14	1	250
44	15	19	4	88
45	1	5	4	120
46	8	9	1	142
47	10	17	4	226
48	14	8	1	113
49	17	7	2	112
50	5	12	1	172
51	13	17	1	168
52	0	1	4	154
53	5	3	4	193
54	17	18	3	237
55	6	18	0	73
56	18	11	2	164
57	8	13	1	143
58	11	3	3	214
59	6	9	1	100
60	1	15	2	96
61	19	9	4	97
62	3	10	2	240
63	17	16	3	190
64	2	17	3	153
65	2	2	1	220
66	14	9	3	205
67	19	6	0	177
68	6	15	0	71
69	8	11	1	120
70	18	1	0	118
71	2	16	3	149
72	0	19	1	230
73	15	7	0	184
74	13	9	1	140
75	14	19	0	64
76	2	16	2	179
77	13	0	0	98
78	18	10	2	200
79	0	10	2	169
80	3	4	3	230
81	3	16	3	106
82	3	12	2	119
83	1	8	0	86
84	16	4	4	94
85	16	9	1	244
86	3	16	3	246
87	8	5	0	237
88	6	18	4	179
89	14	13	4	237
90	0	9	1	107
91	9	16	4	183
92	0	5	4	228
93	16	10	2	103
94	4	16	0	144
95	6	1	0	102
96	2	1	1	136
97	0	19	1	203
98	6	5	3	120
99	19	6	1	119
100	3	6	3	235
101	11	17	4	189
102	6	5	1	103
103	1	13	1	116
104	13	11	3	154
105	16	6	4	97
106	19	5	4	55
107	5	12	1	204
108	7	18	4	226
109	0	17	2	247
110	18	6	4	131
111	15	9	1	84
112	18	3	2	73
113	16	12	0	204
114	4	12	4	77
115	8	0	0	167
116	2	17	3	208
117	11	2	0	88
118	5	19	0	236
119	13	9	1	69
120	7	0	2	50
121	19	15	2	146
122	18	0	0	90
123	5	0	1	87
124	8	10	2	247
125	6	13	1	182
126	19	7	3	89
127	7	2	1	124
