#Fusion Events Log:
#evnt, fam1, fam2, gen, spliceLoc
0	9	18	1	90
1	3	6	1	156
2	9	11	2	214
3	16	0	2	130
4	4	1	0	190
5	1	14	0	160
6	0	14	1	234
7	12	10	1	214
8	16	7	3	218
9	15	11	0	143
10	6	17	3	239
11	18	14	0	106
12	12	6	0	176
13	0	14	3	147
14	13	12	0	70
15	14	12	0	195
16	4	0	1	221
17	9	10	2	165
18	13	11	3	122
19	13	13	1	145
20	13	0	1	217
21	0	13	1	194
22	14	16	2	125
23	1	17	0	139
24	19	2	0	195
25	16	14	3	115
26	14	4	1	89
27	5	4	2	178
28	11	2	0	191
29	19	12	0	153
30	16	12	3	137
31	5	17	4	203
32	19	16	2	51
33	0	19	1	103
34	10	10	4	242
35	12	17	4	138
36	8	11	1	81
37	2	4	2	216
38	15	16	0	239
39	14	11	4	187
40	16	11	4	201
41	8	19	2	143
42	0	15	0	182
43	1	4	0	106
44	7	10	2	122
45	6	17	0	247
46	17	9	2	55
47	11	9	4	76
48	11	12	1	167
49	10	11	0	169
50	4	5	0	202
51	17	8	2	108
52	9	13	2	57
53	4	4	4	114
54	7	11	0	173
55	13	2	4	228
56	3	7	4	197
57	15	15	2	219
58	2	7	3	228
59	1	15	0	122
60	15	17	1	220
61	14	10	4	58
62	13	16	2	224
63	4	12	1	152
64	2	4	2	115
65	2	3	4	108
66	19	10	2	64
67	7	14	2	91
68	4	4	3	108
69	19	12	1	164
70	19	10	2	126
71	18	7	4	215
72	4	11	3	245
73	4	6	3	218
74	15	13	0	211
75	2	16	4	60
76	7	6	4	196
77	14	16	0	219
78	15	8	4	215
79	13	4	2	188
80	5	18	3	84
81	9	1	0	96
82	0	0	2	77
83	10	14	1	134
84	9	9	0	202
85	18	16	4	162
86	15	10	4	81
87	9	19	1	194
88	1	17	1	89
89	2	18	4	169
90	15	3	2	86
91	0	19	2	217
92	7	0	1	215
93	19	14	0	163
94	3	9	1	105
95	14	2	4	106
96	9	14	0	122
97	15	11	0	129
98	6	4	4	183
99	7	18	4	57
100	15	5	1	141
101	3	0	2	230
102	11	12	4	210
103	18	16	3	122
104	14	18	0	190
105	3	11	4	219
106	4	8	1	69
107	6	13	4	234
108	15	0	3	127
109	19	10	4	187
110	15	3	3	151
111	3	4	4	61
112	17	14	0	173
113	2	5	0	233
114	19	16	1	166
115	0	10	3	76
116	16	12	1	181
117	2	9	0	78
118	8	17	4	212
119	8	2	0	233
120	3	1	1	111
121	17	13	1	106
122	8	16	2	212
123	4	18	3	67
124	4	1	1	50
125	10	18	1	89
126	10	8	3	110
127	16	9	1	95
128	11	1	1	121
129	10	9	0	108
130	19	16	4	129
131	18	0	2	70
132	6	10	0	197
133	15	1	0	101
134	1	5	0	185
135	5	13	1	86
136	15	0	3	215
137	15	13	4	55
138	2	15	0	244
139	9	10	0	239
140	14	4	2	170
141	2	7	2	234
142	19	7	3	177
143	6	12	3	148
144	16	5	4	207
145	11	9	4	108
146	18	18	1	230
147	4	15	4	159
148	1	17	2	88
149	17	1	3	52
150	4	3	0	157
151	12	10	2	107
152	6	12	3	105
153	12	2	2	144
154	6	14	0	113
155	2	3	1	181
156	16	4	0	167
157	9	14	4	135
158	7	2	0	195
159	9	19	0	250
160	3	11	0	246
161	14	18	4	131
162	15	16	3	207
163	12	13	1	138
164	3	2	0	127
165	10	4	4	239
166	16	4	0	205
167	18	15	4	91
168	0	19	0	153
169	7	9	3	244
170	0	15	3	168
171	3	3	4	143
172	6	7	3	170
173	13	7	0	96
174	10	19	4	57
175	13	12	4	246
176	8	9	3	209
177	8	1	3	69
178	15	15	0	146
179	1	11	1	68
180	7	1	2	220
181	15	0	4	118
182	5	1	3	89
183	15	11	3	99
184	8	3	2	135
185	12	2	3	166
186	1	19	2	83
187	3	16	0	52
188	7	18	2	180
189	4	5	0	116
190	2	0	0	236
191	18	0	2	196
192	16	11	2	160
193	15	9	4	147
194	15	17	2	90
195	19	11	3	207
196	1	18	3	57
197	16	3	4	105
198	5	10	3	89
199	14	16	1	245
200	3	7	3	69
201	16	7	0	189
202	15	6	1	246
203	4	2	4	208
204	13	4	4	174
205	11	1	4	54
206	14	17	0	130
207	2	7	0	135
208	4	9	2	89
209	11	5	4	247
210	19	13	4	199
211	1	13	4	216
212	8	2	1	165
213	18	0	0	166
214	7	6	3	148
215	5	9	4	115
216	15	13	2	144
